 12 августа ,исторические события,Первый украинский космонавт Павел Попович совершил полет в космос (1962),http://www.calendarium.com.ua/pervyi_ukrainskii_kosmonavt_pavel_popovich_sovershil_polet_v_kosmos_1962
 12 августа ,знаменитые украинцы,Валентин Еременко (1908),http://www.calendarium.com.ua/valentin_eremenko_1908
 12 августа ,именины,Анжелика,http://www.calendarium.com.ua/imenini_anzhelika
 12 августа ,праздники украины,Международный День молодежи,http://www.calendarium.com.ua/mezhdunarodnyi_den_molodezhi
 12 августа ,именины,Анатолий,http://www.calendarium.com.ua/imenini_anatolii
 12 августа ,знаменитые украинцы,Андрей Белецкий (1911),http://www.calendarium.com.ua/andrei_beletskii_1911
 12 августа ,именины,Павел,http://www.calendarium.com.ua/imenini_pavel
 12 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
 13 августа ,знаменитые украинцы,Анна Валентинович (1929),http://www.calendarium.com.ua/anna_valentinovich_1929
 13 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 13 августа ,знаменитые украинцы,Владимир Косинский (1864),http://www.calendarium.com.ua/vladimir_kosinskii_1864
 13 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 13 августа ,именины,Максим,http://www.calendarium.com.ua/imenini_maksim
 13 августа ,именины,Юрий,http://www.calendarium.com.ua/imenini_yurii
 13 августа ,именины,Диана,http://www.calendarium.com.ua/imenini_diana
 13 августа ,именины,Степан,http://www.calendarium.com.ua/imenini_stepan
 13 августа ,исторические события,Арестован председатель государственного отдела искусств Украины Андрей Хвыля (1937),http://www.calendarium.com.ua/arestovan_predsedatel_gosudarstvennogo_otdela_iskusstv_ukrainy_andrei_hvylya_1937
 13 августа ,именины,Константин,http://www.calendarium.com.ua/imenini_konstantin
 13 августа ,именины,Владимир,http://www.calendarium.com.ua/imenini_vladimir
 13 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
 13 августа ,именины,Сергей,http://www.calendarium.com.ua/imenini_sergei
 13 августа ,именины,Анна,http://www.calendarium.com.ua/imenini_anna
 13 августа ,именины,Антон,http://www.calendarium.com.ua/imenini_anton
 14 августа ,исторические события,Начался бой за гору Лысоня (1916),http://www.calendarium.com.ua/nachalsya_boi_za_goru_lysonya_1916
 14 августа ,знаменитые украинцы,Кость Буревей (1888),http://www.calendarium.com.ua/kost_burevei_1888
 14 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 14 августа ,знаменитые украинцы,Алексей Ватуля (1891),http://www.calendarium.com.ua/aleksei_vatulya_1891
 14 августа ,исторические события,"Принятие декларации о праве на государственный суверенитет стран, образованных на территории бывшей Российской империи (1919)",http://www.calendarium.com.ua/prinyatie_deklaratsii_o_prave_na_gosudarstvennyi_suverenitet_stran_obrazovannyh_na_territorii_byvshei_rossiiskoi_imperii_1919
 14 августа ,именины,Тимур,http://www.calendarium.com.ua/imenini_timur
 15 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
 15 августа ,знаменитые украинцы,Григорий Галаган (1819),http://www.calendarium.com.ua/grigorii_galagan_1819
 15 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 15 августа ,праздники украины,День археолога,http://www.calendarium.com.ua/den_arheologa
 15 августа ,именины,Степан,http://www.calendarium.com.ua/imenini_stepan
 15 августа ,исторические события,Зборовская битва (1649),http://www.calendarium.com.ua/zborovskaya_bitva_1649
 15 августа ,именины,Платон,http://www.calendarium.com.ua/imenini_platon
 15 августа ,исторические события,В Украине основан орден Княгини Ольги (1997),http://www.calendarium.com.ua/v_ukraine_osnovan_orden_knyagini_olgi_1997
 16 августа ,знаменитые украинцы,Анатолий Авдиевский (1933),http://www.calendarium.com.ua/anatolii_avdievskii_1933
 16 августа ,знаменитые украинцы,Михаил Внуков (1920),http://www.calendarium.com.ua/mihail_vnukov_1920
 16 августа ,именины,Вячеслав,http://www.calendarium.com.ua/imenini_vyacheslav
 16 августа ,именины,Антон,http://www.calendarium.com.ua/imenini_anton
 16 августа ,знаменитые украинцы,Михаил Романишин (1933),http://www.calendarium.com.ua/mihail_romanishin_1933
 16 августа ,знаменитые украинцы,Николай Дашкевич (1852),http://www.calendarium.com.ua/nikolai_dashkevich_1852
 16 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
 16 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 16 августа ,дни городов украины,День Евпатории,http://www.calendarium.com.ua/den_evpatorii
 17 августа ,именины,Ирина,http://www.calendarium.com.ua/imenini_irina
 17 августа ,именины,Павел,http://www.calendarium.com.ua/imenini_pavel
 17 августа ,именины,Андрей,http://www.calendarium.com.ua/imenini_andrei
 17 августа ,именины,Денис,http://www.calendarium.com.ua/imenini_denis
 17 августа ,именины,Дарья,http://www.calendarium.com.ua/imenini_darya
 17 августа ,именины,Арина,http://www.calendarium.com.ua/imenini_arina
 17 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
 17 августа ,именины,Константин,http://www.calendarium.com.ua/imenini_konstantin
 17 августа ,исторические события,Даниил Галицкий разгромил венгерское войско (1245),http://www.calendarium.com.ua/daniil_galitskii_razgromil_vengerskoe_voisko_1245
 17 августа ,исторические события,«Карпаты» Львов стали обладателями кубка СССР (1969),http://www.calendarium.com.ua/karpaty_lvov_stali_obladatelyami_kubka_sssr_1969
 18 августа ,исторические события,Депортация этнических немцев из Крымской АССР в Казахстан (1941),http://www.calendarium.com.ua/deportatsiya_etnicheskih_nemtsev_iz_krymskoi_assr_v_kazahstan_1941
 18 августа ,исторические события,Основана первая награда независимой Украины (1992),http://www.calendarium.com.ua/osnovana_pervaya_nagrada_nezavisimoi_ukrainy_1992
 18 августа ,дни городов украины,День Луцка,http://www.calendarium.com.ua/den_lutska
 18 августа ,именины,Дарья,http://www.calendarium.com.ua/imenini_darya
 18 августа ,знаменитые украинцы,Александр Кониский (1836),http://www.calendarium.com.ua/aleksandr_koniskii_1836
 19 августа ,праздники украины,Преображение Господне,http://www.calendarium.com.ua/preobrazhenie_gospodne
 19 августа ,исторические события,В СССР был отправлен на орбиту космический корабль с двумя собаками на борту (1960),http://www.calendarium.com.ua/v_sssr_byl_otpravlen_na_orbitu_kosmicheskii_korabl_s_dvumya_sobakami_na_bortu_1960
 19 августа ,дни городов украины,День Коломыи,http://www.calendarium.com.ua/den_kolomyi
 19 августа ,исторические события,Начала издаваться газета «Пролетарская Правда» (1921),http://www.calendarium.com.ua/nachala_izdavatsya_gazeta_proletarskaya_pravda_1921
 19 августа ,праздники украины,День пчеловода,http://www.calendarium.com.ua/den_pchelovoda
 20 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 20 августа ,исторические события,Вышел первый словарь украинского языка «Лексіконъ славенноросскій і именъ тълкованіє» Памвы Берынды (1627),http://www.calendarium.com.ua/vyshel_pervyi_slovar_ukrainskogo_yazyka_leksikon_slavennorosskii_i_imen_tlkovaniie_pamvy_beryndy_1627
 20 августа ,именины,Антон,http://www.calendarium.com.ua/imenini_anton
 20 августа ,исторические события,Министерство связи УССР отдало распоряжение о глушении радиостанций (1980),http://www.calendarium.com.ua/ministerstvo_svyazi_ussr_otdalo_rasporyazhenie_o_glushenii_radiostantsii_1980
 20 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 20 августа ,знаменитые украинцы,Николай Зарудный (1921),http://www.calendarium.com.ua/nikolai_zarudnyi_1921
 21 августа ,знаменитые украинцы,Юрий Вороной (1895),http://www.calendarium.com.ua/yurii_voronoi_1895
 21 августа ,исторические события,"Умер О. Маковей − украинский писатель, критик, филолог, фольклорист (1925)",http://www.calendarium.com.ua/umer_o_makovei_8722_ukrainskii_pisatel_kritik_filolog_folklorist_1925
 21 августа ,исторические события,Возобновление союза Молдавии с Украиной (1652),http://www.calendarium.com.ua/vozobnovlenie_soyuza_moldavii_s_ukrainoi_1652
 21 августа ,именины,Григорий,http://www.calendarium.com.ua/imenini_grigorii
 21 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 21 августа ,знаменитые украинцы,Марьян Яворский (1926),http://www.calendarium.com.ua/maryan_yavorskii_1926
 21 августа ,именины,Леонид,http://www.calendarium.com.ua/imenini_leonid
 22 августа ,именины,Арина,http://www.calendarium.com.ua/imenini_arina
 22 августа ,именины,Мария,http://www.calendarium.com.ua/imenini_mariya
 22 августа ,именины,Григорий,http://www.calendarium.com.ua/imenini_grigorii
 22 августа ,именины,Дмитрий,http://www.calendarium.com.ua/imenini_dmitrii
 22 августа ,именины,Антон,http://www.calendarium.com.ua/imenini_anton
 22 августа ,именины,Петр,http://www.calendarium.com.ua/imenini_petr
 22 августа ,именины,Ирина,http://www.calendarium.com.ua/imenini_irina
 22 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
 22 августа ,исторические события,Украинские миротворцы прибыли в Македонию (1999),http://www.calendarium.com.ua/ukrainskie_mirotvortsy_pribyli_v_makedoniyu_1999
 22 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 22 августа ,исторические события,Катастрофа российского самолета Ту-154 в Донецкой области (2006),http://www.calendarium.com.ua/katastrofa_rossiiskogo_samoleta_tu154_v_donetskoi_oblasti_2006
 23 августа ,именины,Роман,http://www.calendarium.com.ua/imenini_roman
 23 августа ,знаменитые украинцы,Осип Маковей (1867),http://www.calendarium.com.ua/osip_makovei_1867
 23 августа ,именины,Вячеслав,http://www.calendarium.com.ua/imenini_vyacheslav
 23 августа ,праздники украины,День Государственного Флага Украины,http://www.calendarium.com.ua/den_gosudarstvennogo_flaga_ukrainy
 23 августа ,дни городов украины,День Харькова,http://www.calendarium.com.ua/den_harkova
 24 августа ,праздники украины,День независимости,http://www.calendarium.com.ua/den_nezavisimosti
 24 августа ,именины,Мария,http://www.calendarium.com.ua/imenini_mariya
 24 августа ,знаменитые украинцы,Иван Раковский (1874),http://www.calendarium.com.ua/ivan_rakovskii_1874
 24 августа ,знаменитые украинцы,Лев Лукьяненко (1928),http://www.calendarium.com.ua/lev_lukyanenko_1928
 24 августа ,дни городов украины,День Чистяково,http://www.calendarium.com.ua/den_chistyakovo
 24 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 24 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 24 августа ,дни городов украины,День Новоград-Волынского,http://www.calendarium.com.ua/den_novogradvolynskogo
 24 августа ,дни городов украины,День Купянска,http://www.calendarium.com.ua/den_kupyanska
 24 августа ,именины,Максим,http://www.calendarium.com.ua/imenini_maksim
 25 августа ,знаменитые украинцы,Абрам Луфер (1905),http://www.calendarium.com.ua/abram_lufer_1905
 25 августа ,дни городов украины,День Донецка,http://www.calendarium.com.ua/den_donetska
 25 августа ,дни городов украины,День Покровска,http://www.calendarium.com.ua/den_pokrovska
 25 августа ,дни городов украины,День Макеевки,http://www.calendarium.com.ua/den_makeevki
 25 августа ,дни городов украины,День Ровно,http://www.calendarium.com.ua/den_rovno
 25 августа ,знаменитые украинцы,Николай Жулинский (1940),http://www.calendarium.com.ua/nikolai_zhulinskii_1940
 25 августа ,праздники украины,День шахтера,http://www.calendarium.com.ua/den_shahtera
 25 августа ,именины,Степан,http://www.calendarium.com.ua/imenini_stepan
 25 августа ,знаменитые украинцы,Николай Левчук (1939),http://www.calendarium.com.ua/nikolai_levchuk_1939
 25 августа ,знаменитые украинцы,Александр Антипенко (1938),http://www.calendarium.com.ua/aleksandr_antipenko_1938
 25 августа ,именины,Илья,http://www.calendarium.com.ua/imenini_ilya
 25 августа ,именины,Вячеслав,http://www.calendarium.com.ua/imenini_vyacheslav
 25 августа ,дни городов украины,День Брянки,http://www.calendarium.com.ua/den_bryanki
 25 августа ,дни городов украины,День Мирнограда,http://www.calendarium.com.ua/den_mirnograda
 25 августа ,дни городов украины,День Шахтерска,http://www.calendarium.com.ua/den_shahterska
 25 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 25 августа ,дни городов украины,День Кадиевки,http://www.calendarium.com.ua/den_kadievki
 25 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 25 августа ,знаменитые украинцы,Павел Загребельный (1924),http://www.calendarium.com.ua/pavel_zagrebelnyi_1924
 25 августа ,дни городов украины,День Желтых Вод,http://www.calendarium.com.ua/den_zheltyh_vod
 25 августа ,именины,Сергей,http://www.calendarium.com.ua/imenini_sergei
 25 августа ,дни городов украины,День Горловки,http://www.calendarium.com.ua/den_gorlovki
 25 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 25 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 25 августа ,именины,Антон,http://www.calendarium.com.ua/imenini_anton
 26 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 26 августа ,знаменитые украинцы,Дмитрий Дяченко (1887),http://www.calendarium.com.ua/dmitrii_dyachenko_1887
 26 августа ,именины,Константин,http://www.calendarium.com.ua/imenini_konstantin
 26 августа ,именины,Арина,http://www.calendarium.com.ua/imenini_arina
 26 августа ,знаменитые украинцы,Анатолий Добрянский (1935),http://www.calendarium.com.ua/anatolii_dobryanskii_1935
 26 августа ,именины,Максим,http://www.calendarium.com.ua/imenini_maksim
 26 августа ,исторические события,Начато строительство первого городского театра в Киеве (1804),http://www.calendarium.com.ua/nachato_stroitelstvo_pervogo_gorodskogo_teatra_v_kieve_1804
 26 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 26 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 27 августа ,именины,Николай,http://www.calendarium.com.ua/imenini_nikolai
 27 августа ,знаменитые украинцы,Богдан Ступка (1941),http://www.calendarium.com.ua/bogdan_stupka_1941
 27 августа ,исторические события,Румыния объявила войну Австро-Венгрии (1916),http://www.calendarium.com.ua/rumyniya_obyavila_voinu_avstrovengrii_1916
 27 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 27 августа ,знаменитые украинцы,Иван Франко (1856),http://www.calendarium.com.ua/ivan_franko_1856
 27 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 27 августа ,именины,Аркадий,http://www.calendarium.com.ua/imenini_arkadii
 27 августа ,исторические события,Запущен 1-й энергоблок Чернобыльской АЭС (1977),http://www.calendarium.com.ua/zapushchen_1i_energoblok_chernobylskoi_aes_1977
 27 августа ,именины,Владимир,http://www.calendarium.com.ua/imenini_vladimir
 27 августа ,именины,Василий,http://www.calendarium.com.ua/imenini_vasilii
 28 августа ,дни городов украины,День Тернополя,http://www.calendarium.com.ua/den_ternopolya
 28 августа ,знаменитые украинцы,Дмитрий Загул (1890),http://www.calendarium.com.ua/dmitrii_zagul_1890
 28 августа ,праздники украины,Успение Пресвятой Богородицы,http://www.calendarium.com.ua/uspenie_presvyatoi_bogoroditsy
 28 августа ,знаменитые украинцы,Петр Боднар (1935),http://www.calendarium.com.ua/petr_bodnar_1935
 29 августа ,именины,Борис,http://www.calendarium.com.ua/imenini_boris
 29 августа ,исторические события,В Донецке открыт памятник Сергею Бубке (1999),http://www.calendarium.com.ua/v_donetske_otkryt_pamyatnik_sergeyu_bubke_1999
 29 августа ,знаменитые украинцы,Мирослава Сопилка (1897),http://www.calendarium.com.ua/miroslava_sopilka_1897
 29 августа ,именины,Степан,http://www.calendarium.com.ua/imenini_stepan
 29 августа ,знаменитые украинцы,Людмила Старицкая-Черняховская (1868),http://www.calendarium.com.ua/lyudmila_staritskayachernyahovskaya_1868
 29 августа ,именины,Анна,http://www.calendarium.com.ua/imenini_anna
 29 августа ,именины,Диана,http://www.calendarium.com.ua/imenini_diana
 29 августа ,именины,Александр,http://www.calendarium.com.ua/imenini_aleksandr
 30 августа ,именины,Илья,http://www.calendarium.com.ua/imenini_ilya
 30 августа ,именины,Ульяна,http://www.calendarium.com.ua/imenini_ulyana
 30 августа ,исторические события,В Украине запрещена Коммунистическая партия (1991),http://www.calendarium.com.ua/v_ukraine_zapreshchena_kommunisticheskaya_partiya_1991
 30 августа ,именины,Павел,http://www.calendarium.com.ua/imenini_pavel
 30 августа ,знаменитые украинцы,Павел Глазовой (1922),http://www.calendarium.com.ua/pavel_glazovoi_1922
 30 августа ,именины,Алексей,http://www.calendarium.com.ua/imenini_aleksei
 30 августа ,знаменитые украинцы,Дмитрий Донцов (1883),http://www.calendarium.com.ua/dmitrii_dontsov_1883
 31 августа ,исторические события,Запущен первый украинский научно-исследовательский спутник «Сич-1» (1995),http://www.calendarium.com.ua/zapushchen_pervyi_ukrainskii_nauchnoissledovatelskii_sputnik_sich1_1995
 31 августа ,именины,Ульяна,http://www.calendarium.com.ua/imenini_ulyana
 31 августа ,исторические события,Стахановский рекорд (1935),http://www.calendarium.com.ua/stahanovskii_rekord_1935
 31 августа ,праздники украины,День авиации,http://www.calendarium.com.ua/den_aviatsii
 31 августа ,именины,Георгий,http://www.calendarium.com.ua/imenini_georgii
 31 августа ,именины,Иван,http://www.calendarium.com.ua/imenini_ivan
